ID,Review Date,Location,Hotel/Restaurant name,Review
rn581235855,Reviewed yesterday , Chalong,Baan Noy Restaurant,I try this restaurant yesterday during lunch time...food are all delicious and well presented...i order a salmon which is crispy outside and flavorful..staff are helpful and ready to serve your needs..only 1 negative thing i saw..staff having lunch at kitchen using the utensils and equipment...More
rn570437353,"Reviewed April 2, 2018 ", Chalong,Baan Noy Restaurant,"Fred and the team offer very good Thai food, friendly prompt service and they have created a good family friendly service.
Fred is multi-lingual speaking French, German and English fluently."
rn569421541,"Reviewed March 29, 2018 ", Chalong,Baan Noy Restaurant,Food is purely amazing and the best as is the hospitality and service. Do yourself a favor and make sure you hunt this place down and try it for yourself
rn566648680,"Reviewed March 15, 2018 ", Chalong,Baan Noy Restaurant,"This place is a must visit while being in Chalong/ Phuket. Cheep prices, the service quality is simply amazing and so are the dishes. So tasty! We couldn't have asked for more - 5 out of 5 without any doubt!More"
rn565190672,"Reviewed March 7, 2018 ", Chalong,Baan Noy Restaurant,"Entering Baan Noy restaurant is a feeling of warmth and family! Our delightful host Fred greeted us and led us to a nice table!
Our entree of shrimp wrapped in bacon was to die for, my partner ordered a delicious margarita made with precision!
Our...More"
rn563449221,"Reviewed February 28, 2018 ", Chalong,Baan Noy Restaurant,"I had dinner in this place with my girlfriend and we are really enjoy with the food and dirnk especilly the staff was so very friendly ,helpful ,I will be back in next time and I whould like to recomend in this place is the...More"
rn562033569,"Reviewed February 21, 2018 ", Chalong,Baan Noy Restaurant,"Short walk from the Chalong Circle in a comfortable setting.
We started with the best home made prawn cakes I've eaten followed by Lemon/chilli steamed fish.
Prices were reasonable for the quality of the food.
I would definitely recommend this restaurant."
rn559587376,"Reviewed February 10, 2018 ", Chalong,Baan Noy Restaurant,"3 things i looked forward to when coming back to Phuket. Sun, Beach & Baan Noy.
But to be honest, mostly Baan Noy. I have traveled alot and many places have nice beaches and sun but no Ban Noy. Baan Noy is diffrent. Its just...More"
rn559529050,"Reviewed February 9, 2018 ", Chalong,Baan Noy Restaurant,Baan Noy is the best restaurant I have been to in whole Thailand!! The food is SO GOOD and the staff and the owners are the NICEST! I eat here everytime I visit Thailand. Also every friend I bring there for their first time all...More
rn558261355,"Reviewed February 4, 2018 ", Chalong,Baan Noy Restaurant,"We, me and my wife and son, were invited here by friends who were very happy with the service we had provided on their diving trips. It comes highly recommended, so expectations were high. And the friends did not disappoint, the company was excellent.
The...More"
rn558089337,"Reviewed February 3, 2018 ", Chalong,Baan Noy Restaurant,"We came as a group of two couples, two people ordered rice with seafood and when they got it, there was sausage in the seafood. We asked to change it and they brought the same thing all over again. So we complained to the owner...More"
rn557309335,"Reviewed January 30, 2018 ", Chalong,Baan Noy Restaurant,"Perfect food and cooked fresh. Lucky us, the restaurant was empty and the foods were prepared in few minutes. The best food we had till now in our 2 weeks hear around Phuket."
rn553548125,"Reviewed January 13, 2018 ", Chalong,Baan Noy Restaurant,"My husband and I were staying 4 days in Chalong as a part of our honeymoon and went here twice. First day we had spring rolls for starters, the tenderloin and t-bone steak for main and shared a banana split for dessert. Second day we...More"
rn552391921,"Reviewed January 7, 2018 ", Chalong,Baan Noy Restaurant,"We went for lunch today. Ordered the ravioli : the sauce was very mildly tasting of curry and absolutely to die for. We're going back just for that.
Had grilled fish which was cooked to perfection.
All this for an extremely good price.
Don't hesitate,...More"
rn552362495,"Reviewed January 7, 2018 ", Chalong,Baan Noy Restaurant,"Nestled inside of one of quite side streets in Chalong, this is easily one of the top Phuket restaurants in town. They have amazing local Thai and european kitchen. Their Pad-Thai and Curries are unmatched {and so are their Cordon Bleu!}. During our 3-weeks vacation...More"
rn550919160,"Reviewed January 2, 2018 ", Chalong,Baan Noy Restaurant,"Food is really good, that chef is a miracle maker. Coconut soup - must try! Make sure to call and reserve the table, place is just a few tables but quite in high demand. Owner is very hospitable German guy."
rn548390723,"Reviewed December 21, 2017 ", Chalong,Baan Noy Restaurant,"Everything we ordered was delicious, lava cake being just amazing, every time I think of it, I want to have it again.
Owners are a lovely couple and very interesting people. We enjoyed it 100% and were sad that we didn’t manage to go there...More"
rn547861156,"Reviewed December 18, 2017 ", Chalong,Baan Noy Restaurant,"The food was good, great service and the lava cake was delicious. I won't say the food was amazing but definitely worth going if you want to get away from the noise and busy places. The deep fried spinach salad was so good!More"
rn547714071,"Reviewed December 17, 2017 ", Chalong,Baan Noy Restaurant,"Too bad that we found the restaurant until the end of the holiday!
They offer both: Thai food as well exquisite European food. We had both and we enjoyed it much. The fillet mignon and the red curry (extra Thai spicy ;-) are legendary.
This...More"
rn543501070,"Reviewed November 26, 2017 ", Chalong,Baan Noy Restaurant,"Great Thai beef salad
( just needed the sticky rice)
Good quality beef & great taste
Lava cake was fresh not from a packet was worth the 15 min wait
Great service & always clean
It’s a 15 min motorbike ride from Rawai but always...More"
rn542228306,"Reviewed November 20, 2017 ", Chalong,Baan Noy Restaurant,"This restaurant lives up to the good reviews. The food was delicious with large servings. The owners came and spoke with us, really making certain that we had no problems and were happy with the meal and service.
Particularly special were the duck curry, coconut...More"
rn536082567,"Reviewed October 25, 2017 ", Chalong,Baan Noy Restaurant,"After long time we went back to this restaurant and it has been a very pleasant dinner : warm welcoming and excellent food !
We had a good rice with pineapple, a very good garlic and pepper prawn and a wonderful yellow curry prawn.
Without...More"
rn535681361,"Reviewed October 24, 2017 ", Chalong,Baan Noy Restaurant,"This is the best restaurant where we have eaten so far. It was impressive to see how the Chef prepared the food for multiple tables, you could see her cooking in an open kitchen.
There was an extensive menu to choose from (Thai and European...More"
rn532770987,"Reviewed October 13, 2017 ", Chalong,Baan Noy Restaurant,"Not really impressed with this restaurant the service was friendly enough but nothing put of the ordinary.
The food was fairly average and the servings quite small. Average dish is about 140b but you can get much better for half the price.
There wasnt much...More"
rn530716871,"Reviewed October 7, 2017 ", Chalong,Baan Noy Restaurant,The best Mushroom soup on the planet!!! I have eaten there on numerous occasions and each time I leave after been served the finest hospitality and cuisine the Island has to offer.More
rn528397533,"Reviewed September 29, 2017 ", Chalong,Baan Noy Restaurant,"Nice place but average food!
Even they have a big sign at the main road it was still hard to find at night with heavy rain. Other than the small “way” the restaurant is nice and the owners and staff very friendly.
The European food...More"
rn522300751,"Reviewed September 7, 2017 ", Chalong,Baan Noy Restaurant,"We absolutely loved our visit at the Baan Noy Restaurant - the best Thai food we have ever had and extremely sincere service. The restaurant owners welcomed us very nicely, told us various stories about their business and the Thailand experience. We think our visit...More"
rn517038298,"Reviewed August 24, 2017 ", Chalong,Baan Noy Restaurant,"We had a lovely evening with a warm hospitality, friendly place for a relaxed evening. The food was delicious and was served with a smile. Thank u, we had a great time."
rn511938381,"Reviewed August 12, 2017 ", Chalong,Baan Noy Restaurant,"We ate at Baan Noy Restaurant three times during our five day trip to Phuket. We stayed within walking distance of this gem of a restaurant and kept going back. The family-run restaurant offers delicious food, attentive service, and a charming ambiance. The Thai green...More"
rn510567173,"Reviewed August 9, 2017 ", Chalong,Baan Noy Restaurant,The owners are a German-Thai couple and you can see the good aspects of the German influence combined with the tasty Thai kitchen. It's very clean and the staff was more than friendly and attentive. The portions were good and the price was adequately. We...More
rn498927396,"Reviewed July 5, 2017 ", Chalong,Baan Noy Restaurant,"We arrived at this restaurant in a complete downpour. We were greeted at the taxi with umbrellas, service is awesome. The lady that takes your order also cooks your food which is a nice touch and shows how fresh the whole menu is. The best...More"
rn494439040,"Reviewed June 19, 2017 ", Chalong,Baan Noy Restaurant,"Thai and European restaurant! During 3 days trip in Phuket, we went there to have diner and lunch twice! + one take away! Excellent food made by a five stars chef Tai and her husband Fred, from Germany!
Customer service perfect! Amazing!More"
rn493882752,"Reviewed June 17, 2017 ", Chalong,Baan Noy Restaurant,"I had the sliced duck in an orange sauce and it was really very good. The restaurant was quite hard to find however the food quality was great. My girlfriend had a red curry with duck which was also of very good quality, I would...More"
rn493688905,"Reviewed June 17, 2017 ", Chalong,Baan Noy Restaurant,"My wife and I really enjoyed this restaurant. The food was authentic Thai and it was absolutely delicious.
The restaurant is off the beaten track a little in that it's just off the main street, but it is well worth the effort finding it.
We...More"
